Table E200-1: GDP by major expenditure component and per capita GDP at current market prices,,,,,,,,,,,,,,,,,,,,,,,,,Index
,,,,,,,,,,,,,,,,,,,,,,,,,
GDP expenditure component,,Gross Domestic Product [1],,Per capita GDP,,Domestic demand [2],,Final demand*[3],,Private consumption expenditure,,Government consumption expenditure,,Gross domestic fixed capital formation,,Changes in inventories,Exports of goods* (f.o.b.),,Exports of services*,,Imports of goods* (f.o.b.),,Imports of services*,,
Year,Quarter,HK$ million,Year-on-year % change,HK$,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,
1998,1,"316,887 ",0.9 ,-,-,"329,516 ",-1.2 ,"672,586 ",-1.9 ,"197,203 ",0.6 ,"29,326 ",9.5 ,"104,850 ",-1.1 ,"-1,863 ","291,744 ",0.5 ,"51,326 ",-16.8 ,"276,399 ",-6.5 ,"79,300 ",4.7 ,
,2,"326,177 ",-4.1 ,-,-,"340,026 ",-4.4 ,"702,399 ",-5.7 ,"202,298 ",-2.2 ,"28,457 ",-0.4 ,"109,788 ",-4.1 ,-517 ,"311,801 ",-4.9 ,"50,572 ",-17.9 ,"297,356 ",-9.1 ,"78,866 ",1.6 ,
,3,"333,161 ",-7.3 ,-,-,"316,944 ",-13.0 ,"694,747 ",-11.9 ,"198,897 ",-7.1 ,"30,357 ",10.1 ,"90,504 ",-21.2 ,"-2,814 ","324,599 ",-10.9 ,"53,204 ",-10.3 ,"272,621 ",-19.2 ,"88,965 ",-2.7 ,
,4,"331,849 ",-7.7 ,-,-,"314,575 ",-14.0 ,"681,129 ",-12.7 ,"205,221 ",-7.6 ,"29,910 ",8.7 ,"89,901 ",-26.2 ,"-10,457 ","310,951 ",-12.8 ,"55,603 ",-3.7 ,"264,799 ",-21.1 ,"84,481 ",-0.6 ,
1999,1,"300,174 ",-5.3 ,-,-,"293,204 ",-11.0 ,"605,605 ",-10.0 ,"186,127 ",-5.6 ,"32,048 ",9.3 ,"82,889 ",-20.9 ,"-7,860 ","260,721 ",-10.6 ,"51,680 ",0.7 ,"230,628 ",-16.6 ,"74,803 ",-5.7 ,
,2,"315,431 ",-3.3 ,-,-,"303,534 ",-10.7 ,"646,937 ",-7.9 ,"196,500 ",-2.9 ,"29,480 ",3.6 ,"82,386 ",-25.0 ,"-4,832 ","290,966 ",-6.7 ,"52,437 ",3.7 ,"256,086 ",-13.9 ,"75,420 ",-4.4 ,
,3,"329,289 ",-1.2 ,-,-,"306,250 ",-3.4 ,"698,435 ",0.5 ,"191,872 ",-3.5 ,"30,488 ",0.4 ,"83,142 ",-8.1 ,748 ,"334,271 ",3.0 ,"57,914 ",8.9 ,"280,952 ",3.1 ,"88,194 ",-0.9 ,
,4,"341,052 ",2.8 ,-,-,"316,541 ",0.6 ,"718,052 ",5.4 ,"200,202 ",-2.4 ,"31,589 ",5.6 ,"83,418 ",-7.2 ,"1,332 ","339,364 ",9.1 ,"62,147 ",11.8 ,"292,350 ",10.4 ,"84,650 ",0.2 ,
2000,1,"321,039 ",7.0 ,-,-,"313,148 ",6.8 ,"682,890 ",12.8 ,"190,474 ",2.3 ,"33,220 ",3.7 ,"84,973 ",2.5 ,"4,481 ","312,039 ",19.7 ,"57,703 ",11.7 ,"283,493 ",22.9 ,"78,358 ",4.8 ,
,2,"325,717 ",3.3 ,-,-,"316,473 ",4.3 ,"720,299 ",11.3 ,"196,898 ",0.2 ,"29,911 ",1.5 ,"85,143 ",3.3 ,"4,521 ","344,122 ",18.3 ,"59,704 ",13.9 ,"312,303 ",22.0 ,"82,279 ",9.1 ,
,3,"342,978 ",4.2 ,-,-,"321,525 ",5.0 ,"784,059 ",12.3 ,"193,761 ",1.0 ,"30,986 ",1.6 ,"93,068 ",11.9 ,"3,710 ","398,739 ",19.3 ,"63,795 ",10.2 ,"342,454 ",21.9 ,"98,627 ",11.8 ,
,4,"347,767 ",2.0 ,-,-,"327,386 ",3.4 ,"776,956 ",8.2 ,"203,190 ",1.5 ,"31,177 ",-1.3 ,"91,332 ",9.5 ,"1,687 ","384,735 ",13.4 ,"64,835 ",4.3 ,"341,752 ",16.9 ,"87,437 ",3.3 ,
2001,1,"318,843 ",-0.7 ,-,-,"315,842 ",0.9 ,"696,726 ",2.0 ,"193,898 ",1.8 ,"34,450 ",3.7 ,"86,566 ",1.9 ,928 ,"321,174 ",2.9 ,"59,710 ",3.5 ,"296,590 ",4.6 ,"81,293 ",3.7 ,
,2,"322,470 ",-1.0 ,-,-,"316,975 ",0.2 ,"711,740 ",-1.2 ,"201,092 ",2.1 ,"32,307 ",8.0 ,"81,927 ",-3.8 ,"1,649 ","333,971 ",-2.9 ,"60,794 ",1.8 ,"305,907 ",-2.0 ,"83,363 ",1.3 ,
,3,"336,906 ",-1.8 ,-,-,"316,053 ",-1.7 ,"747,942 ",-4.6 ,"194,333 ",0.3 ,"33,999 ",9.7 ,"90,354 ",-2.9 ,"-2,633 ","370,865 ",-7.0 ,"61,024 ",-4.3 ,"320,940 ",-6.3 ,"90,096 ",-8.6 ,
,4,"342,923 ",-1.4 ,-,-,"310,305 ",-5.2 ,"724,730 ",-6.7 ,"198,271 ",-2.4 ,"34,050 ",9.2 ,"81,988 ",-10.2 ,"-4,004 ","352,795 ",-8.3 ,"61,630 ",-4.9 ,"293,296 ",-14.2 ,"88,511 ",1.2 ,
2002,1,"308,313 ",-3.3 ,-,-,"293,769 ",-7.0 ,"655,027 ",-6.0 ,"189,610 ",-2.2 ,"35,791 ",3.9 ,"69,935 ",-19.2 ,"-1,567 ","302,492 ",-5.8 ,"58,766 ",-1.6 ,"268,797 ",-9.4 ,"77,917 ",-4.2 ,
,2,"315,423 ",-2.2 ,-,-,"297,991 ",-6.0 ,"701,253 ",-1.5 ,"189,861 ",-5.6 ,"33,233 ",2.9 ,"73,275 ",-10.6 ,"1,622 ","339,454 ",1.6 ,"63,808 ",5.0 ,"307,199 ",0.4 ,"78,631 ",-5.7 ,
,3,"333,309 ",-1.1 ,-,-,"299,746 ",-5.2 ,"775,236 ",3.6 ,"185,248 ",-4.7 ,"35,141 ",3.4 ,"77,472 ",-14.3 ,"1,885 ","407,610 ",9.9 ,"67,880 ",11.2 ,"346,034 ",7.8 ,"95,893 ",6.4 ,
,4,"340,295 ",-0.8 ,-,-,"300,010 ",-3.3 ,"773,486 ",6.7 ,"188,082 ",-5.1 ,"33,814 ",-0.7 ,"74,394 ",-9.3 ,"3,720 ","402,574 ",14.1 ,"70,902 ",15.0 ,"341,549 ",16.5 ,"91,642 ",3.5 ,
2003,1,"304,457 ",-1.3 ,-,-,"284,009 ",-3.3 ,"707,042 ",7.9 ,"178,375 ",-5.9 ,"35,525 ",-0.7 ,"66,374 ",-5.1 ,"3,735 ","358,040 ",18.4 ,"64,993 ",10.6 ,"324,124 ",20.6 ,"78,461 ",0.7 ,
,2,"293,356 ",-7.0 ,-,-,"273,909 ",-8.1 ,"704,856 ",0.5 ,"175,897 ",-7.4 ,"32,556 ",-2.0 ,"63,954 ",-12.7 ,"1,502 ","379,933 ",11.9 ,"51,014 ",-20.1 ,"341,630 ",11.2 ,"69,870 ",-11.1 ,
,3,"323,046 ",-3.1 ,-,-,"281,532 ",-6.1 ,"793,747 ",2.4 ,"178,404 ",-3.7 ,"34,553 ",-1.7 ,"70,161 ",-9.4 ,"-1,586 ","441,204 ",8.2 ,"71,011 ",4.6 ,"374,639 ",8.3 ,"96,062 ",0.2 ,
,4,"335,810 ",-1.3 ,-,-,"302,896 ",1.0 ,"831,456 ",7.5 ,"190,285 ",1.2 ,"35,513 ",5.0 ,"71,638 ",-3.7 ,"5,460 ","451,950 ",12.3 ,"76,610 ",8.1 ,"402,203 ",17.8 ,"93,443 ",2.0 ,
2004,1,"313,811 ",3.1 ,-,-,"303,461 ",6.8 ,"788,545 ",11.5 ,"186,162 ",4.4 ,"36,625 ",3.1 ,"70,700 ",6.5 ,"9,974 ","410,607 ",14.7 ,"74,477 ",14.6 ,"385,580 ",19.0 ,"89,154 ",13.6 ,
,2,"317,077 ",8.1 ,-,-,"306,638 ",11.9 ,"834,974 ",18.5 ,"193,642 ",10.1 ,"31,950 ",-1.9 ,"72,399 ",13.2 ,"8,647 ","453,580 ",19.4 ,"74,756 ",46.5 ,"427,895 ",25.3 ,"90,002 ",28.8 ,
,3,"333,880 ",3.4 ,-,-,"292,949 ",4.1 ,"886,243 ",11.7 ,"189,415 ",6.2 ,"33,496 ",-3.1 ,"72,329 ",3.1 ,"-2,291 ","510,036 ",15.6 ,"83,258 ",17.2 ,"446,121 ",19.1 ,"106,242 ",10.6 ,
,4,"352,181 ",4.9 ,-,-,"299,185 ",-1.2 ,"901,994 ",8.5 ,"202,224 ",6.3 ,"34,283 ",-3.5 ,"71,932 ",0.4 ,"-9,254 ","517,683 ",14.5 ,"85,126 ",11.1 ,"443,618 ",10.3 ,"106,195 ",13.6 ,
2005,1,"327,783 ",4.5 ,-,-,"296,486 ",-2.3 ,"842,163 ",6.8 ,"193,244 ",3.8 ,"34,666 ",-5.3 ,"72,658 ",2.8 ,"-4,082 ","459,532 ",11.9 ,"86,145 ",15.7 ,"413,343 ",7.2 ,"101,037 ",13.3 ,
,2,"338,730 ",6.8 ,-,-,"307,648 ",0.3 ,"908,558 ",8.8 ,"202,295 ",4.5 ,"30,870 ",-3.4 ,"76,770 ",6.0 ,"-2,287 ","514,826 ",13.5 ,"86,084 ",15.2 ,"470,417 ",9.9 ,"99,411 ",10.5 ,
,3,"363,813 ",9.0 ,-,-,"310,431 ",6.0 ,"993,411 ",12.1 ,"201,479 ",6.4 ,"32,444 ",-3.1 ,"75,742 ",4.7 ,766 ,"586,777 ",15.0 ,"96,203 ",15.5 ,"507,259 ",13.7 ,"122,339 ",15.2 ,
,4,"381,799 ",8.4 ,-,-,"325,046 ",8.6 ,"1,001,336 ",11.0 ,"214,636 ",6.1 ,"32,586 ",-4.9 ,"76,982 ",7.0 ,842 ,"576,284 ",11.3 ,"100,006 ",17.5 ,"504,889 ",13.8 ,"114,648 ",8.0 ,
2006,1,"355,347 ",8.4 ,-,-,"320,694 ",8.2 ,"939,755 ",11.6 ,"207,449 ",7.4 ,"35,320 ",1.9 ,"78,726 ",8.4 ,-801 ,"519,390 ",13.0 ,"99,671 ",15.7 ,"471,720 ",14.1 ,"112,688 ",11.5 ,
,2,"357,109 ",5.4 ,-,-,"331,822 ",7.9 ,"978,862 ",7.7 ,"219,185 ",8.3 ,"30,653 ",-0.7 ,"82,709 ",7.7 ,-725 ,"546,541 ",6.2 ,"100,499 ",16.7 ,"509,708 ",8.4 ,"112,045 ",12.7 ,
,3,"382,405 ",5.1 ,-,-,"329,166 ",6.0 ,"1,080,059 ",8.7 ,"211,146 ",4.8 ,"32,577 ",0.4 ,"88,473 ",16.8 ,"-3,030 ","641,797 ",9.4 ,"109,096 ",13.4 ,"563,225 ",11.0 ,"134,429 ",9.9 ,
,4,"408,491 ",7.0 ,-,-,"353,870 ",8.9 ,"1,120,860 ",11.9 ,"230,911 ",7.6 ,"33,287 ",2.2 ,"87,245 ",13.3 ,"2,427 ","653,335 ",13.4 ,"113,655 ",13.6 ,"576,624 ",14.2 ,"135,745 ",18.4 ,
2007,1,"381,839 ",7.5 ,-,-,"339,065 ",5.7 ,"1,017,091 ",8.2 ,"223,936 ",7.9 ,"36,497 ",3.3 ,"77,722 ",-1.3 ,910 ,"558,075 ",7.4 ,"119,951 ",20.3 ,"514,637 ",9.1 ,"120,615 ",7.0 ,
,2,"386,249 ",8.2 ,-,-,"363,641 ",9.6 ,"1,091,704 ",11.5 ,"241,952 ",10.4 ,"32,723 ",6.8 ,"85,207 ",3.0 ,"3,759 ","612,834 ",12.1 ,"115,229 ",14.7 ,"577,439 ",13.3 ,"128,016 ",14.3 ,
,3,"423,798 ",10.8 ,-,-,"363,379 ",10.4 ,"1,192,075 ",10.4 ,"245,144 ",16.1 ,"34,300 ",5.3 ,"83,917 ",-5.1 ,18 ,"697,030 ",8.6 ,"131,666 ",20.7 ,"624,226 ",10.8 ,"144,051 ",7.2 ,
,4,"458,870 ",12.3 ,-,-,"408,447 ",15.4 ,"1,250,876 ",11.6 ,"271,336 ",17.5 ,"35,447 ",6.5 ,"93,510 ",7.2 ,"8,154 ","706,500 ",8.1 ,"135,929 ",19.6 ,"648,628 ",12.5 ,"143,378 ",5.6 ,
2008,1,"418,762 ",9.7 ,-,-,"382,327 ",12.8 ,"1,152,807 ",13.3 ,"254,670 ",13.7 ,"37,868 ",3.8 ,"90,958 ",17.0 ,"-1,169 ","633,388 ",13.5 ,"137,092 ",14.3 ,"593,546 ",15.3 ,"140,499 ",16.5 ,
,2,"409,388 ",6.0 ,-,-,"393,426 ",8.2 ,"1,192,250 ",9.2 ,"262,891 ",8.7 ,"35,211 ",7.6 ,"91,160 ",7.0 ,"4,164 ","668,675 ",9.1 ,"130,149 ",12.9 ,"649,175 ",12.4 ,"133,687 ",4.4 ,
,3,"436,152 ",2.9 ,-,-,"381,761 ",5.1 ,"1,262,289 ",5.9 ,"252,886 ",3.2 ,"36,957 ",7.7 ,"90,104 ",7.4 ,"1,814 ","737,122 ",5.8 ,"143,406 ",8.9 ,"675,146 ",8.2 ,"150,991 ",4.8 ,
,4,"443,186 ",-3.4 ,-,-,"376,261 ",-7.9 ,"1,228,968 ",-1.8 ,"256,035 ",-5.6 ,"37,981 ",7.1 ,"78,574 ",-16.0 ,"3,671 ","718,996 ",1.8 ,"133,711 ",-1.6 ,"645,560 ",-0.5 ,"140,222 ",-2.2 ,
2009,1,"389,033 ",-7.1 ,-,-,"344,656 ",-9.9 ,"969,318 ",-15.9 ,"236,759 ",-7.0 ,"39,743 ",5.0 ,"75,444 ",-17.1 ,"-7,290 ","503,869 ",-20.4 ,"120,793 ",-11.9 ,"477,146 ",-19.6 ,"103,139 ",-26.6 ,
,2,"396,706 ",-3.1 ,-,-,"368,270 ",-6.4 ,"1,083,043 ",-9.2 ,"257,687 ",-2.0 ,"36,168 ",2.7 ,"80,232 ",-12.0 ,"-5,817 ","605,033 ",-9.5 ,"109,740 ",-15.7 ,"576,654 ",-11.2 ,"109,683 ",-18.0 ,
,3,"421,283 ",-3.4 ,-,-,"398,065 ",4.3 ,"1,171,849 ",-7.2 ,"249,977 ",-1.2 ,"37,870 ",2.5 ,"95,285 ",5.8 ,"14,933 ","643,891 ",-12.6 ,"129,893 ",-9.4 ,"622,677 ",-7.8 ,"127,889 ",-15.3 ,
,4,"452,223 ",2.0 ,-,-,"417,629 ",11.0 ,"1,260,107 ",2.5 ,"269,192 ",5.1 ,"38,731 ",2.0 ,"88,591 ",12.7 ,"21,115 ","701,601 ",-2.4 ,"140,877 ",5.4 ,"674,909 ",4.5 ,"132,975 ",-5.2 ,
2010,1,"422,783 ",8.7 ,-,-,"409,504 ",18.8 ,"1,186,246 ",22.4 ,"256,880 ",8.5 ,"41,020 ",3.2 ,"86,372 ",14.5 ,"25,232 ","626,824 ",24.4 ,"149,918 ",24.1 ,"639,669 ",34.1 ,"123,794 ",20.0 ,
,2,"412,768 ",4.0 ,-,-,"414,654 ",12.6 ,"1,308,722 ",20.8 ,"269,385 ",4.5 ,"37,460 ",3.6 ,"98,195 ",22.4 ,"9,614 ","750,086 ",24.0 ,"143,982 ",31.2 ,"765,513 ",32.8 ,"130,441 ",18.9 ,
,3,"456,830 ",8.4 ,-,-,"398,448 ",0.1 ,"1,395,989 ",19.1 ,"265,554 ",6.2 ,"39,302 ",3.8 ,"99,098 ",4.0 ,"-5,506 ","832,549 ",29.3 ,"164,992 ",27.0 ,"794,680 ",27.6 ,"144,479 ",13.0 ,
,4,"483,951 ",7.0 ,-,-,"449,373 ",7.6 ,"1,428,233 ",13.3 ,"298,415 ",10.9 ,"39,589 ",2.2 ,"103,187 ",16.5 ,"8,182 ","812,033 ",15.7 ,"166,827 ",18.4 ,"796,066 ",18.0 ,"148,216 ",11.5 ,
2011,1,"463,467 ",9.6 ,-,-,"437,385 ",6.8 ,"1,399,728 ",18.0 ,"285,184 ",11.0 ,"42,963 ",4.7 ,"101,049 ",17.0 ,"8,189 ","791,746 ",26.3 ,"170,597 ",13.8 ,"799,137 ",24.9 ,"137,124 ",10.8 ,
,2,"456,607 ",10.6 ,-,-,"469,096 ",13.1 ,"1,451,677 ",10.9 ,"309,181 ",14.8 ,"40,052 ",6.9 ,"113,540 ",15.6 ,"6,323 ","816,099 ",8.8 ,"166,482 ",15.6 ,"857,850 ",12.1 ,"137,220 ",5.2 ,
,3,"495,500 ",8.5 ,-,-,"461,685 ",15.9 ,"1,540,081 ",10.3 ,"303,228 ",14.2 ,"42,293 ",7.6 ,"119,508 ",20.6 ,"-3,344 ","892,222 ",7.2 ,"186,174 ",12.8 ,"893,570 ",12.4 ,"151,011 ",4.5 ,
,4,"518,856 ",7.2 ,-,-,"491,786 ",9.4 ,"1,585,947 ",11.0 ,"326,809 ",9.5 ,"43,209 ",9.1 ,"121,197 ",17.5 ,571 ,"906,698 ",11.7 ,"187,463 ",12.4 ,"914,411 ",14.9 ,"152,680 ",3.0 ,
2012,1,"483,654 ",4.4 ,-,-,"481,936 ",10.2 ,"1,481,387 ",5.8 ,"316,781 ",11.1 ,"47,045 ",9.5 ,"115,949 ",14.7 ,"2,161 ","809,754 ",2.3 ,"189,697 ",11.2 ,"852,644 ",6.7 ,"145,089 ",5.8 ,
,2,"473,958 ",3.8 ,-,-,"498,548 ",6.3 ,"1,555,522 ",7.2 ,"330,800 ",7.0 ,"44,123 ",10.2 ,"123,848 ",9.1 ,-223 ,"874,976 ",7.2 ,"181,998 ",9.3 ,"942,864 ",9.9 ,"138,700 ",1.1 ,
,3,"523,740 ",5.7 ,-,-,"495,253 ",7.3 ,"1,649,845 ",7.1 ,"319,539 ",5.4 ,"46,776 ",10.6 ,"134,980 ",12.9 ,"-6,042 ","962,492 ",7.9 ,"192,100 ",3.2 ,"974,629 ",9.1 ,"151,476 ",0.3 ,
,4,"555,707 ",7.1 ,-,-,"538,291 ",9.5 ,"1,724,257 ",8.7 ,"347,849 ",6.4 ,"47,366 ",9.6 ,"142,634 ",17.7 ,442 ,"985,735 ",8.7 ,"200,231 ",6.8 ,"1,009,549 ",10.4 ,"159,001 ",4.1 ,
2013,1,"509,631 ",5.4 ,-,-,"521,642 ",8.2 ,"1,607,094 ",8.5 ,"346,125 ",9.3 ,"51,011 ",8.4 ,"118,202 ",1.9 ,"6,304 ","885,141 ",9.3 ,"200,311 ",5.6 ,"955,466 ",12.1 ,"141,997 ",-2.1 ,
,2,"492,375 ",3.9 ,-,-,"524,310 ",5.2 ,"1,660,782 ",6.8 ,"355,278 ",7.4 ,"47,609 ",7.9 ,"129,185 ",4.3 ,"-7,762 ","940,918 ",7.5 ,"195,554 ",7.4 ,"1,034,004 ",9.7 ,"134,403 ",-3.1 ,
,3,"551,059 ",5.2 ,-,-,"515,088 ",4.0 ,"1,757,658 ",6.5 ,"339,440 ",6.2 ,"49,664 ",6.2 ,"126,985 ",-5.9 ,"-1,001 ","1,037,640 ",7.8 ,"204,930 ",6.7 ,"1,059,298 ",8.7 ,"147,301 ",-2.8 ,
,4,"585,240 ",5.3 ,-,-,"564,433 ",4.9 ,"1,838,638 ",6.6 ,"372,215 ",7.0 ,"50,288 ",6.2 ,"141,144 ",-1.0 ,786 ,"1,062,360 ",7.8 ,"211,845 ",5.8 ,"1,093,883 ",8.4 ,"159,515 ",0.3 ,
2014,1,"535,907 ",5.2 ,-,-,"541,787 ",3.9 ,"1,646,863 ",2.5 ,"362,196 ",4.6 ,"54,332 ",6.5 ,"119,571 ",1.2 ,"5,688 ","891,867 ",0.8 ,"213,209 ",6.4 ,"975,252 ",2.1 ,"135,704 ",-4.4 ,
,2,"526,194 ",6.9 ,-,-,"559,384 ",6.7 ,"1,716,238 ",3.3 ,"375,516 ",5.7 ,"51,354 ",7.9 ,"126,517 ",-2.1 ,"5,997 ","964,535 ",2.5 ,"192,319 ",-1.7 ,"1,052,850 ",1.8 ,"137,194 ",2.1 ,
,3,"580,793 ",5.4 ,-,-,"546,484 ",6.1 ,"1,816,032 ",3.3 ,"367,181 ",8.2 ,"53,890 ",8.5 ,"129,919 ",2.3 ,"-4,506 ","1,058,095 ",2.0 ,"211,453 ",3.2 ,"1,086,679 ",2.6 ,"148,560 ",0.9 ,
,4,"617,111 ",5.4 ,-,-,"607,718 ",7.7 ,"1,892,094 ",2.9 ,"397,875 ",6.9 ,"54,640 ",8.7 ,"154,909 ",9.8 ,294 ,"1,072,272 ",0.9 ,"212,104 ",0.1 ,"1,122,919 ",2.7 ,"152,064 ",-4.7 ,
2015,1,"572,160 ",6.8 ,-,-,"571,243 ",5.4 ,"1,688,424 ",2.5 ,"387,482 ",7.0 ,"59,157 ",8.9 ,"130,845 ",9.4 ,"-6,241 ","904,070 ",1.4 ,"213,111 ",§ ,"978,535 ",0.3 ,"137,729 ",1.5 ,
,2,"565,750 ",7.5 ,-,-,"590,086 ",5.5 ,"1,712,894 ",-0.2 ,"406,647 ",8.3 ,"55,532 ",8.1 ,"136,291 ",7.7 ,"-8,384 ","929,538 ",-3.6 ,"193,270 ",0.5 ,"1,008,874 ",-4.2 ,"138,270 ",0.8 ,
,3,"614,251 ",5.8 ,-,-,"563,386 ",3.1 ,"1,780,921 ",-1.9 ,"385,960 ",5.1 ,"57,877 ",7.4 ,"127,138 ",-2.1 ,"-7,589 ","1,013,576 ",-4.2 ,"203,959 ",-3.5 ,"1,019,768 ",-6.2 ,"146,902 ",-1.1 ,
,4,"646,119 ",4.7 ,-,-,"616,264 ",1.4 ,"1,856,913 ",-1.9 ,"413,002 ",3.8 ,"58,697 ",7.4 ,"142,931 ",-7.7 ,"1,634 ","1,042,041 ",-2.8 ,"198,608 ",-6.4 ,"1,059,350 ",-5.7 ,"151,444 ",-0.4 ,
2016,1,"590,572 ",3.2 ,-,-,"578,397 ",1.3 ,"1,618,442 ",-4.1 ,"397,815 ",2.7 ,"63,266 ",6.9 ,"120,038 ",-8.3 ,"-2,722 ","846,802 ",-6.3 ,"193,243 ",-9.3 ,"888,896 ",-9.2 ,"138,974 ",0.9 ,
,2,"585,155 ",3.4 ,-,-,"601,425 ",1.9 ,"1,706,235 ",-0.4 ,"412,777 ",1.5 ,"59,731 ",7.6 ,"127,079 ",-6.8 ,"1,838 ","928,231 ",-0.1 ,"176,579 ",-8.6 ,"984,529 ",-2.4 ,"136,551 ",-1.2 ,
,3,"636,400 ",3.6 ,-,-,"599,657 ",6.4 ,"1,817,976 ",2.1 ,"402,062 ",4.2 ,"62,184 ",7.4 ,"135,306 ",6.4 ,105 ,"1,023,161 ",0.9 ,"195,158 ",-4.3 ,"1,033,113 ",1.3 ,"148,463 ",1.1 ,
,4,"678,471 ",5.0 ,-,-,"654,258 ",6.2 ,"1,948,630 ",4.9 ,"437,447 ",5.9 ,"62,792 ",7.0 ,"152,793 ",6.9 ,"1,226 ","1,094,692 ",5.1 ,"199,680 ",0.5 ,"1,116,041 ",5.4 ,"154,118 ",1.8 ,
2017,1,"631,450 ",6.9 ,-,-,"624,440 ",8.0 ,"1,772,694 ",9.5 ,"420,146 ",5.6 ,"67,340 ",6.4 ,"133,228 ",11.0 ,"3,726 ","945,336 ",11.6 ,"202,918 ",5.0 ,"999,932 ",12.5 ,"141,312 ",1.7 ,
,2,"628,300 ",7.4 ,-,-,"653,738 ",8.7 ,"1,834,043 ",7.5 ,"446,021 ",8.1 ,"62,860 ",5.2 ,"143,566 ",13.0 ,"1,291 ","995,555 ",7.3 ,"184,750 ",4.6 ,"1,061,481 ",7.8 ,"144,262 ",5.6 ,
,3,"679,453 ",6.8 ,-,-,"642,627 ",7.2 ,"1,957,081 ",7.7 ,"439,590 ",9.3 ,"65,530 ",5.4 ,"137,264 ",1.4 ,243 ,"1,106,850 ",8.2 ,"207,604 ",6.4 ,"1,121,315 ",8.5 ,"156,313 ",5.3 ,
,4,"720,408 ",6.2 ,-,-,"711,967 ",8.8 ,"2,093,023 ",7.4 ,"478,618 ",9.4 ,"65,717 ",4.7 ,"161,919 ",6.0 ,"5,713 ","1,165,033 ",6.4 ,"216,023 ",8.2 ,"1,208,578 ",8.3 ,"164,037 ",6.4 ,
2018,1,"684,576 ",8.4 ,-,-,"687,148 ",10.0 ,"1,934,928 ",9.2 ,"474,445 ",12.9 ,"71,513 ",6.2 ,"144,092 ",8.2 ,"-2,902 ","1,018,775 ",7.8 ,"229,005 ",12.9 ,"1,093,412 ",9.3 ,"156,940 ",11.1 ,
,2,"673,782 ",7.2 ,-,-,"710,418 ",8.7 ,"1,982,237 ",8.1 ,"488,035 ",9.4 ,"67,638 ",7.6 ,"152,288 ",6.1 ,"2,457 ","1,066,721 ",7.1 ,"205,098 ",11.0 ,"1,155,683 ",8.9 ,"152,772 ",5.9 ,
,3,"723,381 ",6.5 ,-,-,"713,967 ",11.1 ,"2,122,188 ",8.4 ,"472,158 ",7.4 ,"70,405 ",7.4 ,"157,276 ",14.6 ,"14,128 ","1,184,740 ",7.0 ,"223,481 ",7.6 ,"1,236,029 ",10.2 ,"162,778 ",4.1 ,
,4,"753,690 ",4.6 ,-,-,"729,957 ",2.5 ,"2,142,370 ",2.4 ,"501,789 ",4.8 ,"71,864 ",9.4 ,"158,783 ",-1.9 ,"-2,479 ","1,183,114 ",1.6 ,"229,299 ",6.1 ,"1,221,223 ",1.0 ,"167,457 ",2.1 ,
2019,1,"702,601 ",2.6 ,-,-,"692,984 ",0.8 ,"1,913,246 ",-1.1 ,"488,122 ",2.9 ,"77,837 ",8.8 ,"132,601 ",-8.0 ,"-5,576 ","988,797 ",-2.9 ,"231,465 ",1.1 ,"1,054,076 ",-3.6 ,"156,569 ",-0.2 ,
,2,"688,922 ",2.2 ,-,-,"712,625 ",0.3 ,"1,930,746 ",-2.6 ,"509,272 ",4.4 ,"73,368 ",8.5 ,"131,709 ",-13.5 ,"-1,724 ","1,014,523 ",-4.9 ,"203,598 ",-0.7 ,"1,085,052 ",-6.1 ,"156,772 ",2.6 ,
,3,"714,029 ",-1.3 ,-,-,"679,230 ",-4.9 ,"1,975,137 ",-6.9 ,"472,333 ",§ ,"78,467 ",11.5 ,"129,430 ",-17.7 ,"-1,000 ","1,104,724 ",-6.8 ,"191,183 ",-14.5 ,"1,102,741 ",-10.8 ,"158,367 ",-2.7 ,
,4,"739,470 ",-1.9 ,-,-,"715,826 ",-1.9 ,"2,035,755 ",-5.0 ,"503,993 ",0.4 ,"79,765 ",11.0 ,"126,835 ",-20.1 ,"5,233 ","1,147,054 ",-3.0 ,"172,875 ",-24.6 ,"1,133,750 ",-7.2 ,"162,535 ",-2.9 ,
2020,1,"654,083 ",-6.9 ,-,-,"669,443 ",-3.4 ,"1,704,499 ",-10.9 ,"445,497 ",-8.7 ,"89,466 ",14.9 ,"114,350 ",-13.8 ,"20,130 ","882,367 ",-10.8 ,"152,689 ",-34.0 ,"930,962 ",-11.7 ,"119,454 ",-23.7 ,
,2,"627,597 ",-8.9 ,-,-,"624,350 ",-12.4 ,"1,713,951 ",-11.2 ,"438,634 ",-13.9 ,"82,075 ",11.9 ,"101,708 ",-22.8 ,"1,933 ","979,709 ",-3.4 ,"109,892 ",-46.0 ,"998,577 ",-8.0 ,"87,777 ",-44.0 ,
