Table E200-1: GDP by major expenditure component and per capita GDP at current market prices,,,,,,,,,,,,,,,,,,,,,,,,,Index
,,,,,,,,,,,,,,,,,,,,,,,,,
GDP expenditure component,,Gross Domestic Product [1],,Per capita GDP,,Domestic demand [2],,Final demand*[3],,Private consumption expenditure,,Government consumption expenditure,,Gross domestic fixed capital formation,,Changes in inventories,Exports of goods* (f.o.b.),,Exports of services*,,Imports of goods* (f.o.b.),,Imports of services*,,
Year,Quarter,HK$ million,Year-on-year % change,HK$,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,
1989,,"536,558 ",15.1 ,"94,361 ",13.9 ,"475,053 ",11.9 ,"1,109,958 ",12.8 ,"298,779 ",13.2 ,"33,960 ",19.2 ,"138,851 ",17.7 ,"3,463 ","516,868 ",13.5 ,"118,037 ",12.9 ,"463,440 ",8.8 ,"109,960 ",19.2 ,
1990,,"599,256 ",11.7 ,"105,050 ",11.3 ,"548,092 ",15.4 ,"1,250,834 ",12.7 ,"344,302 ",15.2 ,"40,969 ",20.6 ,"157,093 ",13.1 ,"5,728 ","572,071 ",10.7 ,"130,671 ",10.7 ,"518,566 ",11.9 ,"133,012 ",21.0 ,
1991,,"691,323 ",15.4 ,"120,188 ",14.4 ,"644,316 ",17.6 ,"1,469,288 ",17.5 ,"408,921 ",18.8 ,"49,281 ",20.3 ,"182,016 ",15.9 ,"4,098 ","677,904 ",18.5 ,"147,068 ",12.5 ,"615,465 ",18.7 ,"162,500 ",22.2 ,
1992,,"807,130 ",16.8 ,"139,148 ",15.8 ,"765,158 ",18.8 ,"1,755,236 ",19.5 ,"476,197 ",17.1 ,"61,537 ",19.7 ,"219,237 ",20.4 ,"8,187 ","820,430 ",21.0 ,"169,648 ",15.4 ,"755,995 ",22.8 ,"192,111 ",18.2 ,
1993,,"931,010 ",15.3 ,"157,772 ",13.4 ,"868,202 ",13.5 ,"1,988,744 ",13.3 ,"544,898 ",14.4 ,"69,605 ",13.1 ,"251,400 ",14.7 ,"2,299 ","931,566 ",13.5 ,"188,976 ",11.4 ,"844,785 ",11.7 ,"212,949 ",10.8 ,
1994,,"1,049,610 ",12.7 ,"173,909 ",10.2 ,"1,037,464 ",19.5 ,"2,289,571 ",15.1 ,"628,944 ",15.4 ,"79,160 ",13.7 ,"308,097 ",22.6 ,"21,263 ","1,042,499 ",11.9 ,"209,608 ",10.9 ,"984,183 ",16.5 ,"255,778 ",20.1 ,
1995,,"1,119,006 ",6.6 ,"181,772 ",4.5 ,"1,169,149 ",12.7 ,"2,581,431 ",12.7 ,"695,612 ",10.6 ,"89,822 ",13.5 ,"338,059 ",9.7 ,"45,656 ","1,187,557 ",13.9 ,"224,725 ",7.2 ,"1,180,129 ",19.9 ,"282,296 ",10.4 ,
1996,,"1,235,301 ",10.4 ,"191,951 ",5.6 ,"1,253,642 ",7.2 ,"2,756,812 ",6.8 ,"760,205 ",9.3 ,"100,607 ",12.0 ,"383,068 ",13.3 ,"9,762 ","1,254,413 ",5.6 ,"248,757 ",10.7 ,"1,209,455 ",2.5 ,"312,056 ",10.5 ,
1997,,"1,373,083 ",11.2 ,"211,592 ",10.2 ,"1,419,182 ",13.2 ,"2,998,797 ",8.8 ,"839,136 ",10.4 ,"110,449 ",9.8 ,"457,284 ",19.4 ,"12,313 ","1,339,229 ",6.8 ,"240,386 ",-3.4 ,"1,295,906 ",7.1 ,"329,808 ",5.7 ,
1998,,"1,308,074 ",-4.7 ,"199,898 ",-5.5 ,"1,301,061 ",-8.3 ,"2,750,861 ",-8.3 ,"803,619 ",-4.2 ,"118,050 ",6.9 ,"395,043 ",-13.6 ,"-15,651 ","1,239,095 ",-7.5 ,"210,705 ",-12.3 ,"1,111,175 ",-14.3 ,"331,612 ",0.5 ,
